ID,Label,Part,Coef,col,abs_coef
Monoglobus.pectinilyticus,Monoglobus.pectinilyticus,Monoglobus.pectinilyticus,-0.011968449934196585,Control,0.011968449934196585
Clostridium.asparagiforme,Clostridium.asparagiforme,Clostridium.asparagiforme,-0.06382956297089007,Control,0.06382956297089007
Coprococcus.eutactus,Coprococcus.eutactus,Coprococcus.eutactus,-0.015622447976083925,Control,0.015622447976083925
Clostridium.scindens,Clostridium.scindens,Clostridium.scindens,0.048072634748803925,CRC,0.048072634748803925
Gemella.haemolysans,Gemella.haemolysans,Gemella.haemolysans,-0.06413970695507783,Control,0.06413970695507783
Eisenbergiella.tayi,Eisenbergiella.tayi,Eisenbergiella.tayi,0.10340162442318875,CRC,0.10340162442318875
Bacteroides.galacturonicus,Bacteroides.galacturonicus,Bacteroides.galacturonicus,0.08845195677956888,CRC,0.08845195677956888
Firmicutes.bacterium.CAG.110,Firmicutes.bacterium.CAG.110,Firmicutes.bacterium.CAG.110,-0.10890261733170323,Control,0.10890261733170323
Butyricimonas.virosa,Butyricimonas.virosa,Butyricimonas.virosa,0.11829381007394195,CRC,0.11829381007394195
Lactobacillus.salivarius,Lactobacillus.salivarius,Lactobacillus.salivarius,0.12042859239262393,CRC,0.12042859239262393
Hungatella.hathewayi,Hungatella.hathewayi,Hungatella.hathewayi,0.029758436498108207,CRC,0.029758436498108207
Ruminococcus.torques,Ruminococcus.torques,Ruminococcus.torques,0.11192955378510155,CRC,0.11192955378510155
Actinomyces.sp.HMSC035G02,Actinomyces.sp.HMSC035G02,Actinomyces.sp.HMSC035G02,0.11875409513239399,CRC,0.11875409513239399
Harryflintia.acetispora,Harryflintia.acetispora,Harryflintia.acetispora,0.0023819282848662757,CRC,0.0023819282848662757
Bacteroides.fragilis,Bacteroides.fragilis,Bacteroides.fragilis,0.05591235807255506,CRC,0.05591235807255506
Christensenella.minuta,Christensenella.minuta,Christensenella.minuta,0.05707603240235826,CRC,0.05707603240235826
Dielma.fastidiosa,Dielma.fastidiosa,Dielma.fastidiosa,0.04124307285890501,CRC,0.04124307285890501
Bacteroides.nordii,Bacteroides.nordii,Bacteroides.nordii,0.05835331065874126,CRC,0.05835331065874126
Bacteroides.caccae,Bacteroides.caccae,Bacteroides.caccae,0.07685296185167886,CRC,0.07685296185167886
Intestinimonas.butyriciproducens,Intestinimonas.butyriciproducens,Intestinimonas.butyriciproducens,0.12073224313932175,CRC,0.12073224313932175
Ruminococcaceae.bacterium.D5,Ruminococcaceae.bacterium.D5,Ruminococcaceae.bacterium.D5,0.06134460307712673,CRC,0.06134460307712673
